id,srcOrganization,destOrganization,description,cluster,amountUSD,Funding status,year
68110,Khalifa Bin Zayed Al Nahyan Foundation,Oxfam GB,"To provide water, food security and public health requirements (REF: 1/5/15-1128)",Multi-sector,2902452.00,Commitment,2009
68125,Khalifa Bin Zayed Al Nahyan Foundation,"United Nations Educational, Scientific and Cultural Organization",To provide the requirements of the students and teachers of the primary schools in Aghanistan (REF: 1/5/15-1128),Education,5003815.00,Commitment,2009
68126,Khalifa Bin Zayed Al Nahyan Foundation,Save the Children,To strengthen the means of hygiene and nutrition of infants in Afghanistan (REF: 1/5/15-1128),Water Sanitation Hygiene,14410899.00,Commitment,2009
68128,Khalifa Bin Zayed Al Nahyan Foundation,Global Alliance for Improved Nutrition,To provide nutrition for small children in Afghanistan (REF: 1/5/15-1128),Nutrition,15011444.00,Commitment,2009
68145,"Netherlands, Government of",Food & Agriculture Organization of the United Nations,Support to vulnerable populations in drought-affected areas of Afghanistan through the provision of quality wheat seed and fertiliser for spring and autumn 2009 and spring 2010 seasons,Agriculture,3331020.00,Paid Contribution,2009
68321,"Belgium, Government of",International Committee of the Red Cross,Activities of CIRC in Afghanistan,Multi-sector,1404494.00,Commitment,2009
68394,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),Construction of Drinking Water supply facilities and sanitation in selected districts of the Takhar Province (BMZ-No.: 2009.1875.5),Water Sanitation Hygiene,91292.00,Commitment,2009
68799,"Italy, Government of",United Nations Office for Project Services,Disaster Preparedeness to natural disasters (AID 9096/01/0),Coordination and support services,2616279.00,Commitment,2009
68806,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),"Rehabilitation and stabilisation of livelihoods in the district of Balkh, North-Afghanistan (committed new funds of 600.000 Euro on 8th December 2009) [BMZ-No.: 2009.1818.5]",Multi-sector,3637427.00,Commitment,2009
68839,"Belgium, Government of",United Nations Children's Fund,Support to UNICEF for the realisation of there education programme,Education,2812940.00,Commitment,2009
68867,European Commission's Humanitarian Aid and Civil Protection Department,Danish Refugee Council,"Provision of relief, assistance and livelihoods to returnees and vulnerable host communities in Afghanistan (ECHO/-AS/BUD/2009/01030)",Multi-sector,2162647.00,Commitment,2009
68869,European Commission's Humanitarian Aid and Civil Protection Department,International Committee of the Red Cross,"ICRC water/sanitation, protection of detainees and detainee family-link activities in Afghanistan (ECHO/-AS/BUD/2009/01015)",Multi-sector,4353933.00,Commitment,2009
68870,European Commission's Humanitarian Aid and Civil Protection Department,Deutsche Welthungerhilfe e.V. (German Agro Action),"The Afghanistan NGO Safety Office (ANSO)
 (ECHO/-AS/BUD/2009/01017)",Coordination and support services,1207865.00,Commitment,2009
68871,European Commission's Humanitarian Aid and Civil Protection Department,ACF - France Action Contre la Faim,"WAT/SAN - Provision of assistance to cover essential needs of vulnerable groups in Kabul Province, Afghanistan (ECHO/-AS/BUD/2009/01018)",Water Sanitation Hygiene,744803.00,Commitment,2009
68872,European Commission's Humanitarian Aid and Civil Protection Department,ACF - France Action Contre la Faim,Humanitarian support to vulnerable population groups in water scarce regions of Afghanistan (ECHO/-AS/BUD/2009/01019),Water Sanitation Hygiene,702247.00,Commitment,2009
68873,European Commission's Humanitarian Aid and Civil Protection Department,Mission Aviation Fellowship,"Flight Operations for Humanitarian Assistance in Afghanistan (FLOFA 9)
 [ECHO/-AS/BUD/2009/01021]",Coordination and support services,1511515.00,Commitment,2009
68874,European Commission's Humanitarian Aid and Civil Protection Department,People in Need,"Improving access to safe drinking water in Balkh Province, Afghanistan (ECHO/-AS/BUD/2009/01022)",Water Sanitation Hygiene,981940.00,Commitment,2009
68875,European Commission's Humanitarian Aid and Civil Protection Department,Mission Ost - DNK,"WAT/SAN - Improving the living conditions of the people of the  remote Hindu-Kush Himalayan mountainous regions of Badakhshan, Afghanistan (ECHO/-AS/BUD/2009/01025)",Water Sanitation Hygiene,632022.00,Commitment,2009
68876,European Commission's Humanitarian Aid and Civil Protection Department,Norwegian Refugee Council,"Improvement of basic living conditions for returnees, IDPs and vulnerable host communities affected by the  conflict in Afghanistan (ECHO/-AS/BUD/2009/01026)",Emergency Shelter and NFI,2117978.00,Commitment,2009
68877,European Commission's Humanitarian Aid and Civil Protection Department,MEDAIR,"Strengthening the resilience of rural communities  of Afghanistan through Rural Water Supply, Sanitation Improvement and Hygiene Education interventions (Phase II) [ECHO/-AS/BUD/2009/01027]",Water Sanitation Hygiene,1387135.00,Commitment,2009
68878,European Commission's Humanitarian Aid and Civil Protection Department,Office for the Coordination of Humanitarian Affairs,Strengthening humanitarian coordination in Afghanistan (80% received - ECHO/-AS/BUD/2009/01029) [OCT 2540],Coordination and support services,2247191.00,Paid Contribution,2009
68879,European Commission's Humanitarian Aid and Civil Protection Department,Office for the Coordination of Humanitarian Affairs,Strengthening humanitarian coordination in Afghanistan (20% yet to be received - ECHO/-AS/BUD/2009/01029) [OCT 2693],Coordination and support services,561798.00,Commitment,2009
68880,European Commission's Humanitarian Aid and Civil Protection Department,International Federation of Red Cross and Red Crescent Societies,"Building Safer Communities in South Asia - Afghanistan: A regional initiative (phase 2)
(ECHO/DIP/BUD/2009/02025)",Coordination and support services,570646.00,Commitment,2009
69020,Office for the Coordination of Humanitarian Affairs,Office for the Coordination of Humanitarian Affairs,Coordinating Effective and Rapid Response to Humanitarian Needs,Coordination and support services,1908860.00,Paid Contribution,2009
69039,"Sweden, Government of",Norwegian Refugee Council,"Winterization of existing temporary family shelters. Winterization of temporary public service shelters, such as the school and medical point tents. Winterization of water supply and sanitation services. Winter-related upgrade of access route and drainage works",Emergency Shelter and NFI,273725.00,Commitment,2009
69071,"Belgium, Government of",United Nations High Commissioner for Refugees,"Shelter assistance support to voluntary
repatriation and reintegration of Afghan
returnees",Emergency Shelter and NFI,842697.00,Paid Contribution,2009
69081,"Finland, Government of",Finnish Red Cross,"Protection, aid to victims of armed conflicts in Afghanistan",Multi-sector,1235465.00,Commitment,2009
69092,"Germany, Government of",AGEF,Communitybased training and equipment for local committees (VN05 385.28/3 29/09),Education,356991.00,Commitment,2009
69093,"Finland, Government of",United Nations Mine Action Service,Landmine and ERW survey and clearance activities,Protection - Mine Action,290698.00,Commitment,2009
69169,Private (individuals & organizations),World Food Programme,Food aid,Food Security,25440.00,Paid Contribution,2009
69469,"United States of America, Government of",Cooperative Housing Foundation International,"Water, Sanitation and Hygiene, Economic Recovery and Market Systems, Shelter and Settlements (DFD-G-00-09-00266-00)",Multi-sector,4910729.00,Commitment,2009
69470,"United States of America, Government of",Catholic Relief Services,"Agriculture-Food Security
 (DFD-G-00-09-00297-00)",Agriculture,255282.00,Commitment,2009
69471,"United States of America, Government of",International Organization for Migration,"Risk Reduction, Logistics and Relief Commodities (DFD-G-00-09-00024-01)",Emergency Shelter and NFI,3184524.00,Commitment,2009
69472,"United States of America, Government of",Shelter for Life,Risk Reduction (DFD-G-00-09-00013-00),Coordination and support services,291084.00,Commitment,2009
69473,"United States of America, Government of",Agency for Technical Cooperation and Development,"Logistics and Relief Commodities, Natural And Technological Risks, Economic Recovery and Market Systems (DFD-G-00-09-00265-00)",Multi-sector,2448271.00,Commitment,2009
69474,"United States of America, Government of",GOAL,Agriculture-Food Security (DFD-G-00-09-00296-00),Agriculture,309807.00,Commitment,2009
69475,"United States of America, Government of",Mercy Corps,"Agriculture-Food Security
 (DFD-G-00-09-00309-00)",Agriculture,500448.00,Commitment,2009
69748,"Germany, Government of",Survey Action Center,Implementation of land release (VN05 440.70 ALL 06/09),Protection - Mine Action,101744.00,Commitment,2009
69864,"France, Government of",Action Contre la Faim,Food aid,Food Security,1035503.00,Commitment,2009
69868,"Denmark, Government of",Mission East,To contribute to sustainable improvements of health and welfare amongst the population of the north eastern provinces of Takhar and Badakshan (46.H.7-11-114.),Multi-sector,565409.00,Commitment,2009
70086,"France, Government of",International Committee of the Red Cross,"Assistance aux communauts touches par la scheresse et autres catastrophes naturelles, et aux familles dplaces de leur village par le conflit",Food Security,1125176.00,Commitment,2009
70397,"France, Government of",Mission d'Aide au Développement des Economies Rurales en Afghanistan,Distribution de nourriture aux populations affectes par la scheresse + travail contre nourriture lorsque la situation des mnages le permet,Food Security,703235.00,Commitment,2009
70398,"Germany, Government of",Caritas Germany (DCV),Primary (health) care (VN05 321.50 AFG 15/09),Health,244083.00,Commitment,2009
70399,"Germany, Government of",Adventist Development and Relief Agency,"To help IDPs and refugees in Kabul, rural Kabul and Samangan Province in North for coming cold winter (VN05 321.50 AFG 16/09)",Emergency Shelter and NFI,221893.00,Commitment,2009
70400,"Slovakia, Government of",United Nations Children's Fund,Humanitarian aid - preventing of polio in Afghanistan,,42194.00,Commitment,2009
70434,European Commission's Humanitarian Aid and Civil Protection Department,Agency for Technical Cooperation and Development,Emergency Response to Flood Induced Shelter and Infrastructure Damage (ECHO/-AS/BUD/2009/01031),Emergency Shelter and NFI,1246547.00,Commitment,2009
70435,European Commission's Humanitarian Aid and Civil Protection Department,ActionAid International,Emergency shelter support to the Flood Affected families in North of Afghanistan (ECHO/-AS/BUD/2009/01032),Emergency Shelter and NFI,355068.00,Commitment,2009
70436,European Commission's Humanitarian Aid and Civil Protection Department,ActionAid International,"SHELTER	- Provision of Assistance to Cover Essential Needs of Vulnerable Groups in Nimroz, Afghanistan (ECHO/-AS/BUD/2009/01033)",Emergency Shelter and NFI,514728.00,Commitment,2009
